1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
26,26,26,26,26,28,28,28,26,26,28,26,52,52,28,28,26,49,28,28,26,26,26,26,52,26,26,28,28,52,52,52,28,52,49,26,49,49,49,49,52,49,49,49,49,49,49,49,49,52,52,52,52,49,49,49,52,49,49,49,49,52,100,49,52,52,100,100,100,49,52,49,52,100,49,100,100,100,100,49,52,52,100,100,52,52,100,100,100,100,52,100,52,100,52,52,100,52,100,100
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,69,8,8,8,8,69,8,8,69,8,69,8,8,8,8,8,8,69,69,8,8,69,69,69,69,8,69,69,8,8,69,69,69,69,8,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
41,41,35,35,41,35,35,35,35,35,35,41,41,41,35,35,41,35,35,35,41,41,41,35,41,41,41,41,35,41,41,41,41,41,35,41,35,35,35,35,41,59,41,41,59,41,35,35,35,50,50,50,50,59,59,50,50,59,59,59,59,50,59,59,50,50,59,59,59,50,50,50,50,59,59,59,59,97,59,59,50,50,97,97,50,50,97,97,97,97,50,97,50,50,50,50,97,50,97,97
3,36,3,3,3,19,19,3,3,3,19,36,36,36,3,19,36,18,19,19,36,36,36,3,36,36,36,36,46,36,36,36,36,36,38,36,38,38,38,46,36,38,46,46,38,46,38,38,46,36,36,36,36,38,38,46,46,58,58,46,58,46,58,58,46,46,58,58,58,46,94,94,94,58,94,58,58,58,94,94,94,94,58,58,94,94,58,58,58,94,94,94,94,94,94,94,58,94,58,58
5,32,5,5,5,37,5,5,5,5,37,5,32,32,5,5,5,37,37,37,5,5,32,5,32,5,5,5,48,32,32,32,48,32,48,32,37,37,37,48,32,42,48,48,45,48,45,48,48,32,32,32,71,48,48,48,71,68,45,48,45,71,68,68,71,71,68,68,68,48,71,71,71,68,48,48,68,68,48,48,71,93,68,68,93,93,68,68,68,68,93,93,93,93,93,93,68,93,68,68
29,14,16,16,29,6,6,16,16,29,16,29,14,14,16,16,14,6,16,16,29,29,14,29,14,29,29,29,29,14,14,14,29,14,29,56,16,16,29,29,56,67,29,56,67,56,29,29,29,56,56,56,56,56,56,56,56,67,67,56,67,56,67,67,56,56,67,67,67,56,56,56,56,67,56,56,67,67,56,56,56,56,67,67,56,56,67,67,67,56,56,56,56,56,56,56,67,56,67,67
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,53,53,30,30,30,53,30,30,30,30,53,30,30,53,53,30,30,30,53,53,53,53,30,53,30,30,30,53,53,53,53,30,30,53,53,30,30,30,53,53,53,53,53,53,53,53,53,30,53
23,23,23,23,23,61,23,23,23,23,61,23,23,23,23,23,23,61,61,61,23,23,23,23,34,23,23,23,23,34,34,34,23,34,61,23,61,61,61,61,34,61,23,23,61,34,61,61,61,34,34,34,34,61,61,34,34,61,61,61,61,34,61,61,34,34,61,61,61,61,34,61,34,61,61,61,61,61,61,61,34,61,61,61,34,34,61,61,61,61,61,61,34,61,34,34,61,34,61,61
22,17,22,22,22,39,39,39,22,22,39,22,17,17,22,39,17,39,39,39,22,22,17,22,17,22,22,22,22,17,17,17,22,17,39,22,39,39,39,39,17,39,22,22,39,62,39,39,39,62,62,62,62,39,39,62,62,63,63,62,39,62,63,63,62,62,63,63,63,62,62,62,62,63,62,39,63,63,62,62,62,62,99,99,62,62,99,99,99,99,62,62,62,62,62,62,99,62,99,99
13,13,31,31,31,31,31,31,31,31,31,31,13,13,31,31,31,74,74,31,31,31,31,31,13,31,31,31,31,31,31,31,31,31,74,31,74,74,74,31,31,74,31,31,74,31,74,74,73,31,31,31,31,74,74,73,73,74,74,73,74,73,77,74,73,73,77,77,77,73,73,73,73,74,90,90,77,77,90,90,73,73,74,90,73,73,77,77,74,90,73,90,73,73,73,73,74,73,77,90
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,54,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,54,43,54,54,54,43,43,54,43,43,54,43,54,54,43,43,43,43,43,54,54,43,43,78,54,54,54,43,78,54,80,95,78,78,78,80,95,80,80,87,80,80,78,78,80,80,95,80,87,80,95,95,87,87,87,80,95,80,95,95,95,95,87,95,87,87
21,21,15,15,21,20,20,20,15,15,20,21,21,21,15,20,21,20,20,20,21,21,21,15,21,21,21,15,15,21,21,21,51,51,20,51,20,20,55,15,51,55,51,51,55,51,55,55,55,51,51,51,51,55,55,51,51,55,55,55,55,51,89,55,51,51,89,89,89,55,86,51,51,89,55,55,89,89,55,55,86,86,89,89,86,86,89,89,89,89,86,86,86,86,86,86,89,86,89,89
1,1,7,1,1,7,7,7,7,1,7,1,1,1,7,7,1,7,7,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,7,1,7,7,7,7,1,7,72,72,7,72,7,79,72,72,72,81,81,79,79,72,72,79,79,79,79,81,79,79,81,81,79,79,79,72,85,72,72,79,79,79,79,79,79,79,81,72,79,79,85,85,79,79,79,79,81,72,85,85,85,85,79,85,79,79
40,40,40,40,40,40,40,40,40,40,40,40,40,65,40,40,40,40,40,40,40,40,40,40,65,40,40,40,40,40,65,65,40,65,40,40,40,40,40,40,65,40,40,40,40,40,40,40,40,65,65,65,65,75,75,65,65,75,75,75,75,65,75,75,65,65,75,75,75,75,65,75,65,75,75,75,75,75,75,75,91,92,75,75,91,98,75,75,75,75,91,92,98,91,91,98,75,98,75,75
2,2,2,25,2,57,57,57,25,25,57,25,25,25,57,57,25,57,57,57,25,25,25,57,25,57,25,57,57,25,25,25,57,25,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
47,60,47,47,47,47,47,47,47,47,47,60,60,60,47,47,60,47,47,47,60,60,60,47,60,60,60,60,47,60,60,70,60,60,47,60,47,47,47,60,60,47,60,60,47,60,47,47,60,70,60,70,70,60,60,70,70,64,64,60,64,70,64,64,70,70,64,64,64,70,70,70,70,64,70,70,64,64,70,70,70,70,64,64,70,70,64,64,64,70,70,70,70,70,70,70,64,70,64,64
9,33,9,9,9,9,9,9,9,9,9,33,33,33,9,9,33,9,9,9,33,33,33,33,33,33,33,33,33,33,33,33,33,33,9,33,9,9,9,33,33,9,33,33,9,33,33,33,33,33,33,33,33,33,33,33,82,88,88,82,88,82,88,88,82,82,88,88,88,82,96,82,82,88,82,82,88,88,82,82,82,82,88,88,96,96,88,88,88,82,82,82,96,82,96,96,88,96,88,88
12,12,4,4,10,11,11,11,4,10,11,12,12,12,4,11,12,11,11,11,12,12,12,10,12,10,12,10,44,12,12,12,44,12,11,44,11,11,11,44,44,11,44,44,11,44,11,44,44,44,44,44,44,44,44,44,44,83,83,44,83,44,83,83,44,44,83,83,83,44,44,44,44,83,83,83,83,83,83,83,44,44,83,83,44,44,83,83,83,83,44,83,44,83,44,44,83,44,83,83
24,27,24,24,24,24,24,24,24,24,24,27,27,27,24,24,27,24,24,24,27,27,27,24,27,24,27,24,24,27,27,27,27,27,24,27,24,24,24,24,27,76,27,27,76,27,76,24,24,66,66,66,66,76,76,66,66,84,76,76,76,66,84,84,66,66,84,84,84,76,66,76,66,84,76,76,84,84,76,76,66,76,84,84,66,66,84,84,84,84,66,76,66,66,66,66,84,66,84,84
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,58,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,58,58,58,46,46,58,46,46,58,46,58,46,46,46,46,46,46,58,58,46,46,58,58,46,58,46,69,58,46,46,69,69,69,46,46,46,46,69,46,69,69,69,46,46,46,46,69,69,46,46,69,69,69,69,46,46,46,46,46,46,69,46,69,69
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
28,28,28,28,28,38,38,28,28,28,38,28,28,28,28,38,28,38,38,38,28,28,28,28,28,28,28,28,28,28,28,28,28,28,38,28,38,38,38,28,28,38,28,28,38,28,38,38,28,28,28,28,28,38,38,28,28,38,38,38,38,28,38,38,28,28,38,38,38,28,28,28,28,38,38,38,38,38,38,38,28,28,38,38,28,28,38,38,38,38,28,38,28,28,28,28,38,28,38,38
23,23,23,23,23,42,42,49,49,23,49,23,23,23,49,49,23,42,42,49,23,23,23,23,23,23,23,23,49,23,23,23,49,23,49,23,42,42,49,49,23,42,49,49,42,49,42,49,49,23,49,23,23,49,49,49,49,42,42,49,49,49,42,42,49,49,42,42,42,49,23,49,49,97,49,49,97,97,49,49,49,49,97,97,49,49,97,97,97,97,49,97,49,97,49,49,97,49,97,97
5,17,3,3,5,3,3,3,3,5,3,5,17,17,3,3,17,3,3,3,17,17,17,5,17,5,17,5,3,17,17,17,17,17,61,17,61,61,61,5,17,61,17,17,61,17,61,61,61,17,17,17,17,61,61,61,17,61,61,61,61,17,61,61,17,17,61,61,61,61,17,61,61,61,61,61,61,61,61,61,61,61,61,61,61,17,61,61,61,61,61,61,61,61,61,61,61,61,61,61
22,34,6,22,22,6,6,6,6,22,6,22,34,34,22,6,22,6,6,6,22,22,22,22,34,22,22,22,22,34,34,34,22,34,59,22,59,59,59,22,34,59,22,22,59,22,59,59,59,34,34,34,34,59,59,34,34,59,59,59,59,34,59,59,34,34,59,59,59,59,34,59,34,59,59,59,59,59,59,59,34,59,59,59,34,34,59,59,59,59,34,59,34,59,34,34,59,34,59,59
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,99,50,50,50,50,99,50,50,99,50,50,50,50,50,50,50,50,50,50,50,50,99,99,50,99,50,99,99,50,50,99,99,99,50,50,50,50,99,50,99,99,99,99,50,50,50,99,99,50,50,99,99,99,99,50,50,50,50,50,50,99,50,99,99
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
13,13,7,7,7,7,7,7,7,7,7,13,13,13,7,7,13,7,7,7,13,43,13,43,13,43,43,43,43,13,13,13,43,13,48,43,48,48,48,43,43,48,43,43,48,43,48,48,48,56,56,56,56,48,48,56,56,77,48,56,48,56,77,77,56,56,77,77,77,56,56,56,56,77,56,48,77,77,56,56,56,56,77,77,56,56,77,77,77,56,56,56,56,56,56,56,77,56,77,77
